sub_sector,year,co2,ch4,n2o,co2e_100yr,co2e_20yr,sector
bauxite-mining,2015,1848616.0,0.0,0.0,1848616,1848616,mineralExtraction
bauxite-mining,2016,1590808.0,0.0,0.0,1590808,1590808,mineralExtraction
bauxite-mining,2017,1518680.0,0.0,0.0,1518680,1518680,mineralExtraction
bauxite-mining,2018,1547051.0,0.0,0.0,1547051,1547051,mineralExtraction
bauxite-mining,2019,1486579.0,0.0,0.0,1486579,1486579,mineralExtraction
bauxite-mining,2020,727222.0,0.0,0.0,727222,727222,mineralExtraction
bauxite-mining,2021,533085.0,0.0,0.0,533085,533085,mineralExtraction
bauxite-mining,2022,524793.0,0.0,0.0,524793,524793,mineralExtraction
enteric-fermentation-cattle-pasture,2015,0.0,2737437.0,0.0,74458300,221184951,agriculture
enteric-fermentation-cattle-pasture,2016,0.0,2701727.0,0.0,73486989,218299587,agriculture
enteric-fermentation-cattle-pasture,2017,0.0,2675203.0,0.0,72765548,216156481,agriculture
enteric-fermentation-cattle-pasture,2018,0.0,2652980.0,0.0,72161068,214360822,agriculture
enteric-fermentation-cattle-pasture,2019,0.0,2728298.0,0.0,74209709,220446491,agriculture
enteric-fermentation-cattle-pasture,2020,0.0,2873042.0,0.0,78146762,232141852,agriculture
enteric-fermentation-cattle-pasture,2021,0.0,2753485.0,0.0,74894799,222481610,agriculture
enteric-fermentation-cattle-pasture,2022,0.0,2813263.0,0.0,76520772,227311707,agriculture
international-shipping,2015,6762234.0,0.0,0.0,6762234,6762234,transportation
international-shipping,2016,7883024.0,0.0,0.0,7883024,7883024,transportation
international-shipping,2017,8461768.0,0.0,0.0,8461768,8461768,transportation
international-shipping,2018,9245877.0,0.0,0.0,9245877,9245877,transportation
international-shipping,2019,10014557.0,0.0,0.0,10014557,10014557,transportation
international-shipping,2020,11144469.0,0.0,0.0,11144469,11144469,transportation
international-shipping,2021,13189385.0,0.0,0.0,13189385,13189385,transportation
international-shipping,2022,13794928.0,0.0,0.0,13794928,13794928,transportation
other-transport,2015,954098.0,19.0,2.0,955302,956403,transportation
other-transport,2016,1092782.0,22.0,2.0,1094150,1095403,transportation
other-transport,2017,1138266.0,23.0,2.0,1139665,1140957,transportation
other-transport,2018,1228171.0,24.0,2.0,1229653,1231033,transportation
other-transport,2019,1190245.0,23.0,2.0,1191679,1193014,transportation
other-transport,2020,999557.0,20.0,2.0,1000769,1001895,transportation
other-transport,2021,1030427.0,20.0,2.0,1031673,1032833,transportation
other-transport,2022,978748.0,20.0,2.0,979966,981085,transportation
