sub_sector,year,co2,ch4,n2o,co2e_100yr,co2e_20yr
bauxite-mining,2015,1848616,,,1848616,1848616
bauxite-mining,2016,1590808,,,1590808,1590808
bauxite-mining,2017,1518680,,,1518680,1518680
bauxite-mining,2018,1547051,,,1547051,1547051
bauxite-mining,2019,1486579,,,1486579,1486579
bauxite-mining,2020,727222,,,727222,727222
bauxite-mining,2021,533085,,,533085,533085
bauxite-mining,2022,524793,,,524793,524793
enteric-fermentation-cattle-pasture,2015,,2737437,,74458300,221184951
enteric-fermentation-cattle-pasture,2016,,2701727,,73486989,218299587
enteric-fermentation-cattle-pasture,2017,,2675203,,72765548,216156481
enteric-fermentation-cattle-pasture,2018,,2652980,,72161068,214360822
enteric-fermentation-cattle-pasture,2019,,2728298,,74209709,220446491
enteric-fermentation-cattle-pasture,2020,,2873042,,78146762,232141852
enteric-fermentation-cattle-pasture,2021,,2753485,,74894799,222481610
enteric-fermentation-cattle-pasture,2022,,2813263,,76520772,227311707
international-shipping,2015,6762234,,,6762234,6762234
international-shipping,2016,7883024,,,7883024,7883024
international-shipping,2017,8461768,,,8461768,8461768
international-shipping,2018,9245877,,,9245877,9245877
international-shipping,2019,10014557,,,10014557,10014557
international-shipping,2020,11144469,,,11144469,11144469
international-shipping,2021,13189385,,,13189385,13189385
international-shipping,2022,13794928,,,13794928,13794928
other-transport,2015,954098,19,2,955302,956403
other-transport,2016,1092782,22,2,1094150,1095403
other-transport,2017,1138266,23,2,1139665,1140957
other-transport,2018,1228171,24,2,1229653,1231033
other-transport,2019,1190245,23,2,1191679,1193014
other-transport,2020,999557,20,2,1000769,1001895
other-transport,2021,1030427,20,2,1031673,1032833
other-transport,2022,978748,20,2,979966,981085
pulp-and-paper,2015,1460808,,,1460808,1460808
pulp-and-paper,2016,1402711,,,1402711,1402711
pulp-and-paper,2017,1402711,,,1402711,1402711
pulp-and-paper,2018,1402711,,,1402711,1402711
pulp-and-paper,2019,1402711,,,1402711,1402711
pulp-and-paper,2020,1402711,,,1402711,1402711
pulp-and-paper,2021,1402711,,,1402711,1402711
pulp-and-paper,2022,1402711,,,1402711,1402711
shrubgrass-fires,2015,1585314,0,0,1585314,1585314
shrubgrass-fires,2016,4619092,0,0,4619092,4619092
